"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:Experimento3.CR1","37385","saida1min"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","termopar_Avg","PT100_Avg","Rs_Avg"
"TS","RN","","","","",""
"","","Min","Smp","Avg","Avg","Avg"
"2022-06-23 08:37:00",0,12.52,20.8,34.3,39.14,115.1
"2022-06-23 08:38:00",1,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:39:00",2,12.52,20.83,6.545,16.46,106.3
"2022-06-23 08:40:00",3,12.52,20.83,0.316,5.859,102.3
"2022-06-23 08:41:00",4,12.52,20.85,0.307,4.973,101.9
"2022-06-23 08:42:00",5,12.52,20.83,0.359,4.794,101.8
"2022-06-23 08:43:00",6,12.52,20.83,0.37,4.764,101.8
"2022-06-23 08:37:00",0,12.52,20.8,34.3,39.14,115.1
"2022-06-23 08:38:00",1,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:39:00",2,12.52,20.83,6.545,16.46,106.3
"2022-06-23 08:40:00",3,12.52,20.83,0.316,5.859,102.3
"2022-06-23 08:41:00",4,12.52,20.85,0.307,4.973,101.9
"2022-06-23 08:42:00",5,12.52,20.83,0.359,4.794,101.8
"2022-06-23 08:43:00",6,12.52,20.83,0.37,4.764,101.8
"2022-06-23 08:44:00",7,12.52,20.83,0.315,4.796,101.8
"2022-06-23 08:45:00",8,12.52,20.83,0.301,4.796,101.8
"2022-06-23 08:46:00",9,12.52,20.85,0.295,4.797,101.8
"2022-06-23 08:47:00",10,12.52,20.88,0.343,-0.407,99.8
"2022-06-23 08:48:00",11,12.52,20.85,0.341,-0.406,99.8
"2022-06-23 08:49:00",12,12.52,20.85,0.362,0.109,100
"2022-06-23 08:51:00",13,12.52,20.85,0.491,0.369,100.1
"2022-06-23 08:52:00",14,12.52,20.83,0.517,0.243,100.1
"2022-06-23 08:53:00",15,12.52,20.8,0.817,0.449,100.2
"2022-06-23 08:54:00",16,12.52,20.77,0.729,0.348,100.1
"2022-06-23 08:55:00",17,12.52,20.74,0.739,0.501,100.2
"2022-06-23 08:56:00",18,12.52,20.72,0.495,0.762,100.3
"2022-06-23 08:57:00",19,12.52,20.72,0.523,0.241,100.1
"2022-06-23 08:58:00",20,12.52,20.69,0.693,0.474,100.2
"2022-06-23 08:59:00",21,12.52,20.69,0.68,0.731,100.3
"2022-06-23 09:00:00",22,12.52,20.66,0.789,0.731,100.3
"2022-06-23 09:01:00",23,12.52,20.64,0.778,0.732,100.3
"2022-06-23 09:02:00",24,12.52,20.61,0.684,0.732,100.3
"2022-06-23 09:03:00",25,12.52,20.58,0.747,0.688,100.3
"2022-06-23 09:04:00",26,12.53,20.58,0.756,0.733,100.3
"2022-06-23 09:05:00",27,12.53,20.56,0.727,0.734,100.3
"2022-06-23 09:06:00",28,12.52,20.53,0.658,0.734,100.3
"2022-06-23 09:07:00",29,12.52,20.53,0.565,0.734,100.3
"2022-06-23 09:08:00",30,12.53,20.53,0.571,0.735,100.3
"2022-06-23 09:09:00",31,12.53,20.53,0.563,0.735,100.3
"2022-06-23 09:10:00",32,12.52,20.53,0.545,0.735,100.3
"2022-06-23 09:11:00",33,12.52,20.53,0.538,0.735,100.3
"2022-06-23 09:12:00",34,12.52,20.53,0.418,0.735,100.3
"2022-06-23 09:13:00",35,12.52,20.58,5.601,4.137,101.6
"2022-06-23 09:14:00",36,12.53,20.61,3.389,6.349,102.4
"2022-06-23 09:15:00",37,12.52,20.64,7.456,6.967,102.7
"2022-06-23 09:16:00",38,12.53,20.66,8.93,10.29,104
"2022-06-23 09:17:00",39,12.52,20.69,8.73,9.09,103.5
"2022-06-23 09:18:00",40,12.52,20.69,8.76,8.86,103.4
"2022-06-23 09:19:00",41,12.53,20.66,8.62,8.86,103.4
"2022-06-23 09:20:00",42,12.53,20.66,8.66,8.86,103.4
"2022-06-23 09:21:00",43,12.52,20.64,8.75,8.86,103.4
"2022-06-23 09:22:00",44,12.53,20.61,8.72,8.86,103.4
"2022-06-23 09:23:00",45,12.53,20.64,8.75,8.97,103.5
"2022-06-23 09:24:00",46,12.53,20.64,8.86,9.6,103.7
"2022-06-23 09:25:00",47,12.53,20.64,8.99,9.77,103.8
"2022-06-23 09:26:00",48,12.53,20.64,9.05,9.77,103.8
"2022-06-23 09:27:00",49,12.53,20.64,9.14,9.77,103.8
"2022-06-23 09:28:00",50,12.53,20.66,9.29,9.77,103.8
"2022-06-23 09:29:00",51,12.53,20.66,9.34,9.77,103.8
"2022-06-23 09:30:00",52,12.53,20.69,9.52,9.77,103.8
"2022-06-23 09:31:00",53,12.53,20.69,11.2,10.31,104
"2022-06-23 09:32:00",54,12.52,20.66,11.47,11.57,104.5
"2022-06-23 09:33:00",55,12.53,20.64,16.8,12.48,104.8
"2022-06-23 09:34:00",56,12.53,20.64,20.16,19.12,107.4
"2022-06-23 09:35:00",57,12.53,20.61,20.23,20.61,107.9
"2022-06-23 09:36:00",58,12.52,20.61,20.23,20.61,107.9
"2022-06-23 09:37:00",59,12.52,20.61,20.19,20.61,107.9
"2022-06-23 09:38:00",60,12.53,20.61,20.22,20.61,107.9
"2022-06-23 09:39:00",61,12.53,20.61,20.23,20.61,107.9
"2022-06-23 09:40:00",62,12.52,20.61,20.26,20.61,107.9
"2022-06-23 09:41:00",63,12.53,20.61,20.2,20.61,107.9
"2022-06-23 09:42:00",64,12.53,20.64,20.24,20.61,107.9
"2022-06-23 09:43:00",65,12.52,20.64,20.33,20.61,107.9
"2022-06-23 09:44:00",66,12.52,20.64,20.24,20.61,107.9
"2022-06-23 09:45:00",67,12.53,20.64,20.26,20.61,107.9
"2022-06-23 09:46:00",68,12.53,20.64,20.25,20.61,107.9
"2022-06-23 09:47:00",69,12.53,20.64,20.14,20.61,107.9
"2022-06-23 09:48:00",70,12.52,20.66,28.68,29.03,111.2
"2022-06-23 09:49:00",71,12.53,20.66,31.84,33.7,113
"2022-06-23 09:50:00",72,12.52,20.69,32.19,33.44,112.9
"2022-06-23 09:51:00",73,12.53,20.69,32.58,33.28,112.8
"2022-06-23 09:52:00",74,12.53,20.66,32.84,33.28,112.8
"2022-06-23 09:53:00",75,12.53,20.64,32.86,33.29,112.8
"2022-06-23 09:54:00",76,12.53,20.64,32.75,33.28,112.8
"2022-06-23 09:55:00",77,12.52,20.64,32.6,33.28,112.8
"2022-06-23 09:56:00",78,12.52,20.64,32.58,33.28,112.8
"2022-06-23 09:57:00",79,12.53,20.64,32.44,33.28,112.8
