"TOA5","CR1000","CR1000","51714","CR1000.Std.32.03","CPU:Experimento3.CR1","37385","saida1s"
"TIMESTAMP","RECORD","batt_volt_Min","PTemp","termopar_Avg","PT100_Avg","Rs_Avg"
"TS","RN","","","","",""
"","","Min","Smp","Avg","Avg","Avg"
"2022-06-23 08:37:00",0,12.52,20.8,34.3,39.14,115.1
"2022-06-23 08:37:01",1,12.52,20.8,34.31,39.14,115.1
"2022-06-23 08:37:02",2,12.52,20.8,34.31,39.14,115.1
"2022-06-23 08:37:03",3,12.52,20.8,34.34,39.14,115.1
"2022-06-23 08:37:04",4,12.52,20.8,34.32,39.14,115.1
"2022-06-23 08:37:05",5,12.52,20.8,34.33,39.14,115.1
"2022-06-23 08:37:06",6,12.52,20.8,34.33,39.14,115.1
"2022-06-23 08:37:07",7,12.52,20.8,34.34,39.14,115.1
"2022-06-23 08:37:08",8,12.52,20.8,34.34,39.14,115.1
"2022-06-23 08:37:09",9,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:10",10,12.52,20.8,34.34,39.14,115.1
"2022-06-23 08:37:11",11,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:12",12,12.52,20.8,34.36,39.14,115.1
"2022-06-23 08:37:13",13,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:14",14,12.52,20.8,34.38,39.14,115.1
"2022-06-23 08:37:15",15,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:16",16,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:17",17,12.52,20.8,34.35,39.14,115.1
"2022-06-23 08:37:18",18,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:37:19",19,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:20",20,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:21",21,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:22",22,12.52,20.8,34.4,39.14,115.1
"2022-06-23 08:37:23",23,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:24",24,12.52,20.8,34.4,39.14,115.1
"2022-06-23 08:37:25",25,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:26",26,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:27",27,12.52,20.8,34.38,39.14,115.1
"2022-06-23 08:37:28",28,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:29",29,12.52,20.8,34.4,39.14,115.1
"2022-06-23 08:37:30",30,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:37:31",31,12.52,20.8,34.38,39.14,115.1
"2022-06-23 08:37:32",32,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:33",33,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:37:34",34,12.52,20.8,34.38,39.14,115.1
"2022-06-23 08:37:35",35,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:37:36",36,12.52,20.8,34.37,39.14,115.1
"2022-06-23 08:37:37",37,12.52,20.8,34.38,39.14,115.1
"2022-06-23 08:37:38",38,12.52,20.8,34.4,39.14,115.1
"2022-06-23 08:37:39",39,12.52,20.8,34.41,39.14,115.1
"2022-06-23 08:37:40",40,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:37:41",41,12.52,20.83,34.4,39.14,115.1
"2022-06-23 08:37:42",42,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:37:43",43,12.52,20.83,34.42,39.14,115.1
"2022-06-23 08:37:44",44,12.52,20.8,34.38,39.14,115.1
"2022-06-23 08:37:45",45,12.52,20.83,34.42,39.14,115.1
"2022-06-23 08:37:46",46,12.52,20.83,34.41,39.14,115.1
"2022-06-23 08:37:47",47,12.52,20.83,34.4,39.14,115.1
"2022-06-23 08:37:48",48,12.52,20.83,34.4,39.14,115.1
"2022-06-23 08:37:49",49,12.52,20.83,34.42,39.14,115.1
"2022-06-23 08:37:50",50,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:37:51",51,12.52,20.83,34.39,39.14,115.1
"2022-06-23 08:37:52",52,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:37:53",53,12.52,20.83,34.37,39.14,115.1
"2022-06-23 08:37:54",54,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:37:55",55,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:37:56",56,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:37:57",57,12.52,20.83,34.37,39.14,115.1
"2022-06-23 08:37:58",58,12.52,20.83,34.39,39.14,115.1
"2022-06-23 08:37:59",59,12.52,20.83,34.38,39.14,115.1
"2022-06-23 08:38:00",60,12.52,20.83,34.36,39.14,115.1
"2022-06-23 08:38:01",61,12.52,20.83,34.42,39.14,115.1
"2022-06-23 08:38:02",62,12.52,20.83,34.43,39.14,115.1
"2022-06-23 08:38:03",63,12.52,20.8,34.39,39.14,115.1
"2022-06-23 08:38:04",64,12.52,20.83,34.43,39.14,115.1
"2022-06-23 08:38:05",65,12.52,20.83,33.9,39.14,115.1
"2022-06-23 08:38:06",66,12.52,20.83,32.4,39.14,115.1
"2022-06-23 08:38:07",67,12.52,20.83,31.23,37.33,114.4
"2022-06-23 08:38:08",68,12.52,20.83,30.24,34.61,113.3
"2022-06-23 08:38:09",69,12.52,20.8,29.15,31.9,112.3
"2022-06-23 08:38:10",70,12.52,20.83,30.55,30.09,111.6
"2022-06-23 08:38:11",71,12.52,20.83,28.79,28.28,110.9
"2022-06-23 08:38:12",72,12.52,20.83,1.066,26.47,110.2
"2022-06-23 08:38:13",73,12.52,20.83,3.185,24.66,109.5
"2022-06-23 08:38:14",74,12.52,20.8,1.5,22.86,108.8
"2022-06-23 08:38:15",75,12.52,20.83,1.75,21.95,108.5
"2022-06-23 08:38:16",76,12.52,20.83,1.998,21.05,108.1
"2022-06-23 08:38:17",77,12.52,20.83,1.964,19.24,107.4
"2022-06-23 08:38:18",78,12.52,20.83,1.81,19.24,107.4
"2022-06-23 08:38:19",79,12.52,20.8,1.551,18.34,107.1
"2022-06-23 08:38:20",80,12.52,20.8,1.38,17.43,106.7
"2022-06-23 08:38:21",81,12.52,20.8,1.201,16.53,106.4
"2022-06-23 08:38:22",82,12.52,20.8,1.072,15.63,106
"2022-06-23 08:38:23",83,12.52,20.83,0.989,15.63,106
"2022-06-23 08:38:24",84,12.52,20.83,0.929,14.72,105.7
"2022-06-23 08:38:25",85,12.52,20.83,0.861,13.82,105.3
"2022-06-23 08:38:26",86,12.52,20.83,0.809,13.82,105.3
